Event,EventDate,Ticker,H+1d %,H+5d %,H+20d %
Lanzamiento GPT-3,2020-06-01,NVDA,0.21574026728443663,0.03145827246038291,4.5189145308956125
Lanzamiento GPT-3,2020-06-01,AMD,,,
Lanzamiento GPT-3,2020-06-01,INTC,,,
Microsoft licencia exclusiva GPT-3,2021-09-01,NVDA,-0.20053347285857726,-1.176426706071676,-7.686815562855454
Microsoft licencia exclusiva GPT-3,2021-09-01,AMD,-0.7182479596970159,-3.4912232134477583,-6.446037344843014
Microsoft licencia exclusiva GPT-3,2021-09-01,INTC,0.11178627538332986,-0.5030768234702054,-0.7266802416330598
Lanzamiento ChatGPT,2022-11-30,NVDA,1.2527178186246823,-4.745017454729716,-13.709148678920736
Lanzamiento ChatGPT,2022-11-30,AMD,-0.19321641348862828,-9.64832942002939,-16.501350008781223
Lanzamiento ChatGPT,2022-11-30,INTC,-0.7981296875721355,-5.786497792485623,-12.836703664464654
Microsoft invierte 10.000M en OpenAI,2023-01-01,NVDA,0.9237517636840442,8.861345597683968,43.30777186207282
Microsoft invierte 10.000M en OpenAI,2023-01-01,AMD,-0.16982088414050356,5.064083030244415,30.67778875469358
Microsoft invierte 10.000M en OpenAI,2023-01-01,INTC,4.7294732528200045,11.38857763982033,9.988645354578951
Lanzamiento GPT-4,2023-03-14,NVDA,0.6857130437617487,8.876718635392411,10.1068170967322
Lanzamiento GPT-4,2023-03-14,AMD,2.5500325154424353,9.696973874055747,5.580337396353197
Lanzamiento GPT-4,2023-03-14,INTC,1.428062921057327,1.6065638094105772,14.316315434686121
Integración ChatGPT en Bing/Office/Azure,2023-05-01,NVDA,-2.4213078897210027,0.8336107942565896,38.744392433863474
Integración ChatGPT en Bing/Office/Azure,2023-05-01,AMD,0.24529068426200062,5.964988659261339,39.66996681141164
Integración ChatGPT en Bing/Office/Azure,2023-05-01,INTC,-1.7491665161247894,1.9670109813552328,-0.6177838658108503
Lanzamiento GPT-4o,2024-05-13,NVDA,1.0586485397789502,4.846284590009331,33.76246816654047
Lanzamiento GPT-4o,2024-05-13,AMD,1.7268903730579321,10.474232550597451,5.579177265863322
Lanzamiento GPT-4o,2024-05-13,INTC,1.7699123395411132,5.211405409710634,1.343821283338853
